City,State,Year,Population
New York,New York,2010,8190208
New York,New York,2011,8272948
New York,New York,2012,8346693
New York,New York,2013,8396091
New York,New York,2014,8433806
New York,New York,2015,8463049
New York,New York,2016,8469153
New York,New York,2017,8437478
New York,New York,2018,8390081
New York,New York,2019,8336817
Los Angeles,California,2010,3795512
Los Angeles,California,2011,3820876
Los Angeles,California,2012,3851202
Los Angeles,California,2013,3881622
Los Angeles,California,2014,3909901
Los Angeles,California,2015,3938568
Los Angeles,California,2016,3963226
Los Angeles,California,2017,3975788
Los Angeles,California,2018,3977596
Los Angeles,California,2019,3979576
Chicago,Illinois,2010,2697477
Chicago,Illinois,2011,2708114
Chicago,Illinois,2012,2719141
Chicago,Illinois,2013,2725731
Chicago,Illinois,2014,2727066
Chicago,Illinois,2015,2724344
Chicago,Illinois,2016,2716723
Chicago,Illinois,2017,2711069
Chicago,Illinois,2018,2701423
Chicago,Illinois,2019,2693976
Houston,Texas,2010,2100280
Houston,Texas,2011,2126032
Houston,Texas,2012,2161593
Houston,Texas,2013,2199391
Houston,Texas,2014,2241826
Houston,Texas,2015,2286908
Houston,Texas,2016,2309544
Houston,Texas,2017,2316750
Houston,Texas,2018,2318573
Houston,Texas,2019,2320268
Phoenix,Arizona,2010,1449038
Phoenix,Arizona,2011,1469796
Phoenix,Arizona,2012,1499274
Phoenix,Arizona,2013,1526491
Phoenix,Arizona,2014,1555445
Phoenix,Arizona,2015,1583690
Phoenix,Arizona,2016,1612199
Phoenix,Arizona,2017,1633560
Phoenix,Arizona,2018,1654675
Phoenix,Arizona,2019,1680992
Philadelphia,Pennsylvania,2010,1528283
Philadelphia,Pennsylvania,2011,1540466
Philadelphia,Pennsylvania,2012,1551824
Philadelphia,Pennsylvania,2013,1558313
Philadelphia,Pennsylvania,2014,1565460
Philadelphia,Pennsylvania,2015,1571065
Philadelphia,Pennsylvania,2016,1576051
Philadelphia,Pennsylvania,2017,1580601
Philadelphia,Pennsylvania,2018,1583592
Philadelphia,Pennsylvania,2019,1584064
San Antonio,Texas,2010,1332299
San Antonio,Texas,2011,1357120
San Antonio,Texas,2012,1383075
San Antonio,Texas,2013,1408339
San Antonio,Texas,2014,1435456
San Antonio,Texas,2015,1464043
San Antonio,Texas,2016,1487843
San Antonio,Texas,2017,1511154
San Antonio,Texas,2018,1530016
San Antonio,Texas,2019,1547253
San Diego,California,2010,1305906
San Diego,California,2011,1319592
San Diego,California,2012,1336776
San Diego,California,2013,1355320
San Diego,California,2014,1375831
San Diego,California,2015,1387323
San Diego,California,2016,1402089
San Diego,California,2017,1412621
San Diego,California,2018,1421917
San Diego,California,2019,1423851
Dallas,Texas,2010,1200350
Dallas,Texas,2011,1218282
Dallas,Texas,2012,1242115
Dallas,Texas,2013,1258835
Dallas,Texas,2014,1279098
Dallas,Texas,2015,1301329
Dallas,Texas,2016,1323916
Dallas,Texas,2017,1342479
Dallas,Texas,2018,1341802
Dallas,Texas,2019,1343573
San Jose,California,2010,954940
San Jose,California,2011,970369
San Jose,California,2012,983530
San Jose,California,2013,1001279
San Jose,California,2014,1014273
San Jose,California,2015,1025980
San Jose,California,2016,1030242
San Jose,California,2017,1032335
San Jose,California,2018,1028020
San Jose,California,2019,1021795
Austin,Texas,2010,806164
Austin,Texas,2011,828459
Austin,Texas,2012,854482
Austin,Texas,2013,875003
Austin,Texas,2014,901170
Austin,Texas,2015,921114
Austin,Texas,2016,939447
Austin,Texas,2017,951553
Austin,Texas,2018,962469
Austin,Texas,2019,978908
Jacksonville,Florida,2010,823114
Jacksonville,Florida,2011,829609
Jacksonville,Florida,2012,837013
Jacksonville,Florida,2013,842735
Jacksonville,Florida,2014,852494
Jacksonville,Florida,2015,865836
Jacksonville,Florida,2016,880520
Jacksonville,Florida,2017,892025
Jacksonville,Florida,2018,902437
Jacksonville,Florida,2019,911507
Fort Worth,Texas,2010,748441
Fort Worth,Texas,2011,764142
Fort Worth,Texas,2012,781046
Fort Worth,Texas,2013,796073
Fort Worth,Texas,2014,815057
Fort Worth,Texas,2015,835356
Fort Worth,Texas,2016,856177
Fort Worth,Texas,2017,874809
Fort Worth,Texas,2018,893216
Fort Worth,Texas,2019,909585
Columbus,Ohio,2010,790943
Columbus,Ohio,2011,800607
Columbus,Ohio,2012,812740
Columbus,Ohio,2013,827797
Columbus,Ohio,2014,841673
Columbus,Ohio,2015,854950
Columbus,Ohio,2016,866894
Columbus,Ohio,2017,881694
Columbus,Ohio,2018,890869
Columbus,Ohio,2019,898553
Charlotte,North Carolina,2010,738444
Charlotte,North Carolina,2011,754829
Charlotte,North Carolina,2012,773264
Charlotte,North Carolina,2013,792047
Charlotte,North Carolina,2014,807400
Charlotte,North Carolina,2015,825668
Charlotte,North Carolina,2016,843117
Charlotte,North Carolina,2017,860002
Charlotte,North Carolina,2018,872514
Charlotte,North Carolina,2019,885708
San Francisco,California,2010,805505
San Francisco,California,2011,815650
San Francisco,California,2012,828876
San Francisco,California,2013,839572
San Francisco,California,2014,850750
San Francisco,California,2015,863010
San Francisco,California,2016,871512
San Francisco,California,2017,878040
San Francisco,California,2018,880696
San Francisco,California,2019,881549
Indianapolis,Indiana,2010,821579
Indianapolis,Indiana,2011,827664
Indianapolis,Indiana,2012,835499
Indianapolis,Indiana,2013,844696
Indianapolis,Indiana,2014,850164
Indianapolis,Indiana,2015,853714
Indianapolis,Indiana,2016,859049
Indianapolis,Indiana,2017,863478
Indianapolis,Indiana,2018,870960
Indianapolis,Indiana,2019,876384
Seattle,Washington,2010,610630
Seattle,Washington,2011,622694
Seattle,Washington,2012,635928
Seattle,Washington,2013,653588
Seattle,Washington,2014,670109
Seattle,Washington,2015,687386
Seattle,Washington,2016,709631
Seattle,Washington,2017,728661
Seattle,Washington,2018,742235
Seattle,Washington,2019,753675
Denver,Colorado,2010,603359
Denver,Colorado,2011,620530
Denver,Colorado,2012,635163
Denver,Colorado,2013,649391
Denver,Colorado,2014,664582
Denver,Colorado,2015,683285
Denver,Colorado,2016,696159
Denver,Colorado,2017,704961
Denver,Colorado,2018,716265
Denver,Colorado,2019,727211
Washington,District of Columbia,2010,605226
Washington,District of Columbia,2011,619800
Washington,District of Columbia,2012,634924
Washington,District of Columbia,2013,650581
Washington,District of Columbia,2014,662328
Washington,District of Columbia,2015,675400
Washington,District of Columbia,2016,685815
Washington,District of Columbia,2017,694906
Washington,District of Columbia,2018,701547
Washington,District of Columbia,2019,705749
Boston,Massachusetts,2010,621048
Boston,Massachusetts,2011,630505
Boston,Massachusetts,2012,642955
Boston,Massachusetts,2013,653002
Boston,Massachusetts,2014,662855
Boston,Massachusetts,2015,670491
Boston,Massachusetts,2016,679848
Boston,Massachusetts,2017,687788
Boston,Massachusetts,2018,691147
Boston,Massachusetts,2019,692600
El Paso,Texas,2010,650671
El Paso,Texas,2011,664404
El Paso,Texas,2012,674941
El Paso,Texas,2013,674808
El Paso,Texas,2014,677235
El Paso,Texas,2015,676242
El Paso,Texas,2016,679955
El Paso,Texas,2017,681343
El Paso,Texas,2018,679875
El Paso,Texas,2019,681728
Nashville-Davidson,Tennessee,2010,604589
Nashville-Davidson,Tennessee,2011,612518
Nashville-Davidson,Tennessee,2012,625550
Nashville-Davidson,Tennessee,2013,635999
Nashville-Davidson,Tennessee,2014,645259
Nashville-Davidson,Tennessee,2015,655498
Nashville-Davidson,Tennessee,2016,661765
Nashville-Davidson,Tennessee,2017,663587
Nashville-Davidson,Tennessee,2018,667006
Nashville-Davidson,Tennessee,2019,670820
Detroit,Michigan,2010,711131
